corrida,gpi,config,partidas,vitoria_pct,media_movel_5_pct
gpi4000,4000,antiga,1800000,64.798,64.742
gpi4000,4000,antiga,1900000,64.927,64.7722
gpi4000,4000,antiga,2000000,65.072,64.8682
gpi4000,4000,antiga,2100000,64.803,64.8798
gpi4000,4000,antiga,2200000,64.989,64.9178
gpi4000,4000,antiga,2300000,64.99,64.9562
gpi4000,4000,antiga,2400000,64.93,64.9568
gpi4000,4000,antiga,2500000,64.707,64.8838
gpi4000,4000,antiga,2600000,64.683,64.8598
gpi4000,4000,antiga,2700000,64.755,64.813
gpi4000,4000,antiga,2800000,64.965,64.808
gpi4000,4000,antiga,2900000,64.913,64.8046
gpi4000,4000,antiga,3000000,65.073,64.8778
gpi4000,4000,antiga,3100000,65.019,64.945
gpi4000,4000,antiga,3200000,65.228,65.0396
gpi4000,4000,antiga,3300000,65.101,65.0668
gpi4000,4000,antiga,3400000,65.257,65.1356
gpi4000,4000,antiga,3500000,65.233,65.1676
gpi4000,4000,antiga,3600000,65.048,65.1734
gpi4000,4000,antiga,3700000,65.098,65.1474
gpi4000,4000,antiga,3800000,65.196,65.1664
gpi4000,4000,antiga,3900000,64.961,65.1072
gpi4000,4000,antiga,4000000,64.94,65.0486
gpi4000,4000,antiga,4100000,65.127,65.0644
gpi4000,4000,antiga,4200000,64.979,65.0406
gpi4000,4000,antiga,4300000,65.036,65.0086
gpi4000,4000,antiga,4400000,65.041,65.0246
gpi4000,4000,antiga,4500000,65.027,65.042
gpi4000,4000,antiga,4600000,64.906,64.9978
gpi4000,4000,antiga,4700000,64.883,64.9786
gpi4000,4000,antiga,4800000,64.966,64.9646
gpi4000,4000,antiga,4900000,65.188,64.994
gpi4000,4000,antiga,5000000,65.118,65.0122
gpi4000,4000,antiga,5100000,65.108,65.0526
gpi4000,4000,antiga,5200000,65.007,65.0774
gpi4000,4000,antiga,5300000,65.136,65.1114
gpi4000,4000,antiga,5400000,65.173,65.1084
gpi4000,4000,antiga,5500000,65.177,65.1202
gpi4000,4000,antiga,5600000,65.209,65.1404
gpi4000,4000,antiga,5700000,65.148,65.1686
gpi4000,4000,antiga,5800000,65.202,65.1818
gpi4000,4000,antiga,5900000,65.139,65.175
gpi4000,4000,antiga,6000000,65.184,65.1764
gpi4000,4000,antiga,6100000,65.167,65.168
gpi4000,4000,antiga,6200000,65.11,65.1604
gpi4000,4000,antiga,6300000,65.301,65.1802
gpi4000,4000,antiga,6400000,65.329,65.2182
gpi4000,4000,antiga,6500000,65.407,65.2628
gpi4000,4000,antiga,6600000,65.31,65.2914
gpi4000,4000,antiga,6700000,65.189,65.3072
gpi4000,4000,antiga,6800000,65.427,65.3324
gpi4000,4000,antiga,6900000,65.149,65.2964
gpi4000,4000,antiga,7000000,65.311,65.2772
gpi4000,4000,antiga,7100000,65.302,65.2756
gpi4000,4000,antiga,7200000,65.106,65.259
gpi4000,4000,antiga,7300000,65.243,65.2222
gpi4000,4000,antiga,7400000,65.26,65.2444
gpi4000,4000,antiga,7500000,65.195,65.2212
gpi4000,4000,antiga,7600000,65.208,65.2024
gpi4000,4000,antiga,7700000,65.272,65.2356
gpi4000,4000,antiga,7800000,65.197,65.2264
gpi4000,4000,antiga,7900000,65.171,65.2086
gpi4000,4000,antiga,8000000,65.29,65.2276
gpi4000,4000,antiga,8100000,65.393,65.2646
gpi4000,4000,antiga,8200000,65.259,65.262
gpi4000,4000,antiga,8300000,65.437,65.31
gpi4000,4000,antiga,8400000,65.569,65.3896
gpi4000,4000,antiga,8500000,65.409,65.4134
gpi4000,4000,antiga,8600000,65.46,65.4268
gpi4000,4000,antiga,8700000,65.515,65.478
gpi4000,4000,antiga,8800000,65.371,65.4648
gpi4000,4000,antiga,8900000,65.416,65.4342
gpi4000,4000,antiga,9000000,65.478,65.448
gpi4000,4000,antiga,9100000,65.511,65.4582
gpi4000,4000,antiga,9200000,65.355,65.4262
gpi4000,4000,antiga,9300000,65.412,65.4344
gpi4000,4000,antiga,9400000,65.588,65.4688
gpi4000,4000,antiga,9500000,65.545,65.4822
gpi4000,4000,antiga,9600000,65.518,65.4836
gpi4000,4000,antiga,9700000,65.47,65.5066
gpi4000,4000,antiga,9800000,65.383,65.5008
gpi4000,4000,antiga,9900000,65.354,65.454
gpi4000,4000,antiga,10000000,65.485,65.442
gpi4000,4000,antiga,10100000,65.429,65.4242
gpi4000,4000,antiga,10200000,65.41,65.4122
gpi4000,4000,antiga,10300000,65.307,65.397
gpi4000,4000,antiga,10400000,65.478,65.4218
gpi4000,4000,antiga,10500000,65.237,65.3722
gpi4000,4000,antiga,10600000,65.434,65.3732
